"","WOType","Borough","WOCategory","WOWoodRemains","WOWireConflict","CreatedDate"
"67","Block Pruning","Bronx","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/27"
"68","Stump Removal","Queens","Stump Removal","No Wood Debris","No Util Conflict Present","20/02/03"
"69","Block Pruning","Bronx","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/26"
"70","Block Pruning","Bronx","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/05"
"71","Block Pruning","Staten Island","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/11"
"72","Block Pruning","Brooklyn","Block Pruning","No Wood Debris","Electric Utility Open","20/02/03"
"73","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/18"
"74","Block Pruning","Queens","Block Pruning","No Wood Debris","Electric Utility Open","20/02/17"
"75","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/24"
"76","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/07"
"77","Block Pruning","Bronx","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/04"
"78","Pruning","Staten Island","Risk Mitigation","No Wood Debris","No Util Conflict Present","20/02/06"
"79","Stump Removal","Queens","Stump Removal","No Wood Debris","No Util Conflict Present","20/02/28"
"80","Pruning","Manhattan","Risk Mitigation","No Wood Debris","No Util Conflict Present","20/02/12"
"81","Stump Removal","Brooklyn","Stump Removal","No Wood Debris","No Util Conflict Present","20/02/13"
"82","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/13"
"83","Stump Removal","Brooklyn","Stump Removal","No Wood Debris","No Util Conflict Present","20/02/14"
"84","Block Pruning","Bronx","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/04"
"85","Tree Removal","Manhattan","Risk Mitigation","Unprocessed Wood","No Util Conflict Present","20/02/07"
"86","Pruning","Manhattan","Risk Mitigation","No Wood Debris","No Util Conflict Present","20/02/04"
"87","Block Pruning","Staten Island","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/28"
"88","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/25"
"89","Block Pruning","Brooklyn","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/26"
"90","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/18"
"91","Block Pruning","Bronx","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/26"
"92","Block Pruning","Brooklyn","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/17"
"93","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/10"
"94","Hanging Limb","Staten Island","Risk Mitigation","No Wood Debris","No Util Conflict Present","20/02/14"
"95","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/01"
"96","Block Pruning","Bronx","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/04"
"97","Block Pruning","Staten Island","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/12"
"98","Tree Removal","Manhattan","Risk Mitigation","Unprocessed Wood","No Util Conflict Present","20/02/12"
"99","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/19"
"100","Block Pruning","Bronx","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/26"
"101","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/06"
"102","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/13"
"103","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/07"
"104","Tree Removal","Queens","Risk Mitigation","No Wood Debris","No Util Conflict Present","20/02/20"
"105","Pruning","Manhattan","Risk Mitigation","No Wood Debris","No Util Conflict Present","20/02/12"
"106","Block Pruning","Bronx","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/05"
"107","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/03"
"108","Stump Removal","Staten Island","Stump Removal","No Wood Debris","No Util Conflict Present","20/02/20"
"109","Hanging Limb","Brooklyn","Risk Mitigation","Unprocessed Wood","No Util Conflict Present","20/02/11"
"110","Block Pruning","Bronx","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/04"
"111","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/18"
"112","Block Pruning","Brooklyn","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/03"
"113","Block Pruning","Bronx","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/06"
"114","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/07"
"115","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/28"
"116","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/24"
"117","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/05"
"118","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/17"
"119","Pruning","Manhattan","Risk Mitigation","No Wood Debris","No Util Conflict Present","20/02/05"
"120","Block Pruning","Bronx","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/11"
"121","Stump Removal","Manhattan","Stump Removal","No Wood Debris","No Util Conflict Present","20/02/19"
"122","Pruning","Manhattan","Risk Mitigation","No Wood Debris","No Util Conflict Present","20/02/05"
"123","Stump Removal","Queens","Stump Removal","No Wood Debris","No Util Conflict Present","20/02/25"
"124","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/19"
"125","Pruning","Manhattan","Risk Mitigation","No Wood Debris","No Util Conflict Present","20/02/05"
"126","Block Pruning","Brooklyn","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/01"
"127","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/14"
"128","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/20"
"129","Pruning","Manhattan","Risk Mitigation","No Wood Debris","No Util Conflict Present","20/02/07"
"130","Block Pruning","Brooklyn","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/11"
"131","Pruning","Manhattan","Risk Mitigation","No Wood Debris","No Util Conflict Present","20/02/28"
"132","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/11"
"133","Block Pruning","Brooklyn","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/03"
"134","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/13"
"135","Tree Plant-Street Tree Block","Queens","Tree Planting","No Wood Debris","No Util Conflict Present","20/02/06"
"136","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/10"
"137","Block Pruning","Brooklyn","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/10"
"138","Stump Removal","Manhattan","Stump Removal","No Wood Debris","No Util Conflict Present","20/02/03"
"139","Tree Plant-Street Tree Block","Queens","Tree Planting","No Wood Debris","No Util Conflict Present","20/02/21"
"140","Block Pruning","Brooklyn","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/11"
"141","Block Pruning","Bronx","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/05"
"142","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/04"
"143","Block Pruning","Bronx","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/06"
"144","Block Pruning","Bronx","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/03"
"145","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/18"
"146","Tree Plant-Park Tree","Queens","Tree Planting","No Wood Debris","No Util Conflict Present","20/02/27"
"147","Pruning","Manhattan","Risk Mitigation","No Wood Debris","No Util Conflict Present","20/02/17"
"148","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/03"
"149","Block Pruning","Bronx","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/28"
"150","Pruning","Manhattan","Risk Mitigation","No Wood Debris","No Util Conflict Present","20/02/03"
"151","Pruning","Manhattan","Risk Mitigation","No Wood Debris","No Util Conflict Present","20/02/12"
"152","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/25"
"153","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/18"
"154","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/20"
"155","Block Pruning","Bronx","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/05"
"156","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/10"
"157","Pruning","Manhattan","Risk Mitigation","No Wood Debris","No Util Conflict Present","20/02/05"
"158","Pruning","Manhattan","Risk Mitigation","No Wood Debris","No Util Conflict Present","20/02/04"
"159","Pruning","Manhattan","Risk Mitigation","No Wood Debris","No Util Conflict Present","20/02/05"
"160","Block Pruning","Queens","Block Pruning","No Wood Debris","Electric Utility Open","20/02/20"
"161","Block Pruning","Brooklyn","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/03"
"162","Pruning","Manhattan","Risk Mitigation","No Wood Debris","No Util Conflict Present","20/02/10"
"163","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/06"
"164","Tree Plant-Street Tree","Manhattan","Tree Planting","No Wood Debris","No Util Conflict Present","20/02/06"
"165","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/07"
"166","Pruning","Manhattan","Risk Mitigation","No Wood Debris","No Util Conflict Present","20/02/06"
"167","Block Pruning","Bronx","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/28"
"168","Block Pruning","Brooklyn","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/11"
"169","Pruning","Queens","Risk Mitigation","All Wood Removed","No Util Conflict Present","20/02/14"
"170","Block Pruning","Bronx","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/06"
"171","Tree Removal","Manhattan","Risk Mitigation","Unprocessed Wood","No Util Conflict Present","20/02/12"
"172","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/04"
"173","Pruning","Manhattan","Risk Mitigation","No Wood Debris","No Util Conflict Present","20/02/05"
"174","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/19"
"175","Pruning","Manhattan","Risk Mitigation","No Wood Debris","No Util Conflict Present","20/02/19"
"176","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/03"
"177","Block Pruning","Bronx","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/14"
"178","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/04"
"179","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/17"
"180","Pruning","Manhattan","Risk Mitigation","No Wood Debris","No Util Conflict Present","20/02/04"
"181","Tree Removal","Manhattan","Risk Mitigation","Unprocessed Wood","No Util Conflict Present","20/02/12"
"182","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/17"
"183","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/13"
"184","Stump Removal","Queens","Stump Removal","No Wood Debris","No Util Conflict Present","20/02/24"
"185","Block Pruning","Brooklyn","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/26"
"186","Block Pruning","Bronx","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/26"
"187","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/17"
"188","Tree Plant-Street Tree","Manhattan","Tree Planting","No Wood Debris","No Util Conflict Present","20/02/11"
"189","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/10"
"190","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/28"
"191","Tree Removal","Queens","Risk Mitigation","No Wood Debris","No Util Conflict Present","20/02/19"
"192","Tree Removal","Brooklyn","Risk Mitigation","Unprocessed Wood","No Util Conflict Present","20/02/24"
"193","Pruning","Manhattan","Risk Mitigation","No Wood Debris","No Util Conflict Present","20/02/03"
"194","Block Pruning","Bronx","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/28"
"195","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/24"
"196","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/04"
"197","Stump Removal","Brooklyn","Stump Removal","No Wood Debris","No Util Conflict Present","20/02/10"
"198","Pruning","Manhattan","Risk Mitigation","No Wood Debris","No Util Conflict Present","20/02/03"
"199","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/18"
"200","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/24"
"201","Tree Removal","Bronx","Risk Mitigation","No Wood Debris","No Util Conflict Present","20/02/20"
"202","Stump Removal","Manhattan","Stump Removal","No Wood Debris","No Util Conflict Present","20/02/04"
"203","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/13"
"204","Pruning","Manhattan","Risk Mitigation","No Wood Debris","No Util Conflict Present","20/02/28"
"205","Stump Removal for Tree Planting","Queens","Tree Planting","No Wood Debris","No Util Conflict Present","20/02/14"
"206","Block Pruning","Bronx","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/06"
"207","Block Pruning","Queens","Block Pruning","No Wood Debris","Electric Utility Open","20/02/26"
"208","Block Pruning","Bronx","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/05"
"209","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/13"
"210","Pruning","Bronx","Risk Mitigation","No Wood Debris","No Util Conflict Present","20/02/19"
"211","Tree Removal","Manhattan","Risk Mitigation","Unprocessed Wood","No Util Conflict Present","20/02/12"
"212","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/04"
"213","Tree Removal","Brooklyn","Risk Mitigation","No Wood Debris","No Util Conflict Present","20/02/01"
"214","Block Pruning","Brooklyn","Block Pruning","No Wood Debris","Electric Utility Open","20/02/17"
"215","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/05"
"216","Block Pruning","Brooklyn","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/03"
"217","Block Pruning","Brooklyn","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/11"
"218","Block Pruning","Brooklyn","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/11"
"219","Tree Plant-Street Tree","Staten Island","Tree Planting","No Wood Debris","No Util Conflict Present","20/02/02"
"220","Stump Removal","Manhattan","Stump Removal","No Wood Debris","No Util Conflict Present","20/02/03"
"221","Block Pruning","Bronx","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/04"
"222","Block Pruning","Brooklyn","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/03"
"223","Pruning","Manhattan","Risk Mitigation","No Wood Debris","No Util Conflict Present","20/02/25"
"224","Tree Plant-Street Tree","Brooklyn","Tree Planting","No Wood Debris","No Util Conflict Present","20/02/10"
"225","Pruning","Queens","Risk Mitigation","All Wood Removed","No Util Conflict Present","20/02/10"
"226","Stump Removal","Queens","Stump Removal","No Wood Debris","No Util Conflict Present","20/02/26"
"227","Block Pruning","Brooklyn","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/03"
"228","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/27"
"229","Pruning","Manhattan","Risk Mitigation","No Wood Debris","No Util Conflict Present","20/02/26"
"230","Pruning","Manhattan","Risk Mitigation","No Wood Debris","No Util Conflict Present","20/02/27"
"231","Block Pruning","Brooklyn","Block Pruning","No Wood Debris","Electric Utility Open","20/02/18"
"232","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/25"
"233","Block Pruning","Brooklyn","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/04"
"234","Tree Down","Queens","Post-Failure Tree/Debris Removal","All Wood Removed","No Util Conflict Present","20/02/10"
"235","Pruning","Bronx","Risk Mitigation","< 4 in diam, <4 ft length","No Util Conflict Present","20/02/28"
"236","Block Pruning","Bronx","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/06"
"237","Block Pruning","Staten Island","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/26"
"238","Tree Removal","Staten Island","Risk Mitigation","No Wood Debris","No Util Conflict Present","20/02/18"
"239","Pruning","Manhattan","Risk Mitigation","Unprocessed Wood","No Util Conflict Present","20/02/24"
"240","Block Pruning","Queens","Block Pruning","No Wood Debris","Electric Utility Open","20/02/20"
"241","Block Pruning","Queens","Block Pruning","No Wood Debris","Electric Utility Open","20/02/28"
"242","Block Pruning","Brooklyn","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/03"
"243","Block Pruning","Brooklyn","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/10"
"244","Block Pruning","Bronx","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/05"
"245","Stump Removal","Brooklyn","Stump Removal","No Wood Debris","No Util Conflict Present","20/02/14"
"246","Stump Removal","Manhattan","Stump Removal","No Wood Debris","No Util Conflict Present","20/02/20"
"247","Pruning","Bronx","Risk Mitigation","No Wood Debris","No Util Conflict Present","20/02/20"
"248","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/19"
"249","Tree Removal","Queens","Risk Mitigation","No Wood Debris","No Util Conflict Present","20/02/25"
"250","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/04"
"251","Stump Removal","Queens","Stump Removal","No Wood Debris","No Util Conflict Present","20/02/19"
"252","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/04"
"253","Tree Plant-Street Tree","Manhattan","Tree Planting","No Wood Debris","No Util Conflict Present","20/02/13"
"254","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/26"
"255","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/15"
"256","Pruning","Manhattan","Risk Mitigation","No Wood Debris","No Util Conflict Present","20/02/14"
"257","Block Pruning","Queens","Block Pruning","No Wood Debris","Electric Utility Open","20/02/24"
"258","Pruning","Queens","Risk Mitigation","No Wood Debris","No Util Conflict Present","20/02/27"
"259","Pruning","Manhattan","Risk Mitigation","No Wood Debris","No Util Conflict Present","20/02/28"
"260","Stump Removal","Manhattan","Stump Removal","No Wood Debris","No Util Conflict Present","20/02/18"
"261","Pruning","Brooklyn","Risk Mitigation","No Wood Debris","No Util Conflict Present","20/02/20"
"262","Tree Plant-Street Tree","Manhattan","Tree Planting","No Wood Debris","No Util Conflict Present","20/02/06"
"263","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/03"
"264","Tree Plant-Street Tree Block","Queens","Tree Planting","No Wood Debris","No Util Conflict Present","20/02/06"
"265","Stump Removal","Manhattan","Stump Removal","No Wood Debris","No Util Conflict Present","20/02/12"
"266","Block Pruning","Staten Island","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/28"
"267","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/11"
"268","Tree Plant-Park Tree","Manhattan","Tree Planting","No Wood Debris","No Util Conflict Present","20/02/13"
"269","Tree Plant-Street Tree","Manhattan","Tree Planting","No Wood Debris","No Util Conflict Present","20/02/13"
"270","Pruning","Manhattan","Risk Mitigation","No Wood Debris","No Util Conflict Present","20/02/17"
"271","Pruning","Brooklyn","Risk Mitigation","Unprocessed Wood","No Util Conflict Present","20/02/24"
"272","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/05"
"273","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/11"
"274","Block Pruning","Bronx","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/19"
"275","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/07"
"276","Block Pruning","Bronx","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/28"
"277","Tree Removal","Manhattan","Risk Mitigation","Unprocessed Wood","No Util Conflict Present","20/02/12"
"278","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/01"
"279","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/10"
"280","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/10"
"281","Block Pruning","Queens","Block Pruning","No Wood Debris","Electric Utility Open","20/02/18"
"282","Block Pruning","Staten Island","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/24"
"283","Block Pruning","Bronx","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/03"
"284","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/04"
"285","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/13"
"286","Tree Removal","Manhattan","Risk Mitigation","Unprocessed Wood","No Util Conflict Present","20/02/07"
"287","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/20"
"288","Tree Removal","Queens","Risk Mitigation","All Wood Removed","No Util Conflict Present","20/02/08"
"289","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/14"
"290","Stump Removal","Brooklyn","Stump Removal","No Wood Debris","No Util Conflict Present","20/02/27"
"291","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/13"
